Year,State Name,Area_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day,Yield_kg_per_ha,Crop_cotton,Crop_maize,Crop_rice
2008,Madhya Pradesh,119400.0,4.33728,1.92768,4.33728,28,65,6.0,700,3.0,22,160.64,True,False,False
2009,Madhya Pradesh,10400.0,20.673,9.92304,18.19224,25,80,6.5,1200,2.0,18,826.92,False,False,True
2009,Madhya Pradesh,11200.0,37.84833,16.821479999999998,23.83043,22,70,6.0,800,2.5,20,1401.79,False,True,False
2009,Madhya Pradesh,19600.0,16.16328,8.979600000000001,16.16328,20,60,6.5,600,1.5,16,897.96,False,False,False
2009,Madhya Pradesh,120200.0,2.82123,1.25388,2.82123,28,65,6.0,700,3.0,22,104.49,True,False,False
2010,Madhya Pradesh,8600.0,34.01175,16.32564,29.93034,25,80,6.5,1200,2.0,18,1360.47,False,False,True
2010,Madhya Pradesh,12100.0,56.23128,24.99168,35.40488,22,70,6.0,800,2.5,20,2082.64,False,True,False
2010,Madhya Pradesh,22100.0,14.98644,8.3258,14.98644,20,60,6.5,600,1.5,16,832.58,False,False,False
2010,Madhya Pradesh,114580.0,4.019220000000001,1.7863200000000004,4.019220000000001,28,65,6.0,700,3.0,22,148.86,True,False,False
2011,Madhya Pradesh,7600.0,30.921,14.84208,27.21048,25,80,6.5,1200,2.0,18,1236.84,False,False,True
2011,Madhya Pradesh,11200.0,41.46417,18.42852,26.107070000000004,22,70,6.0,800,2.5,20,1535.71,False,True,False
2011,Madhya Pradesh,20200.0,18.891,10.495,18.891,20,60,6.5,600,1.5,16,1049.5,False,False,False
2011,Madhya Pradesh,114480.0,6.670350000000001,2.9646000000000003,6.670350000000001,28,65,6.0,700,3.0,22,247.05,True,False,False
2012,Madhya Pradesh,5100.0,37.89225,18.18828,33.34518,25,80,6.5,1200,2.0,18,1515.69,False,False,True
2012,Madhya Pradesh,14970.0,100.24452,44.55312000000001,63.11692000000001,22,70,6.0,800,2.5,20,3712.76,False,True,False
2012,Madhya Pradesh,18540.0,28.93212,16.0734,28.93212,20,60,6.5,600,1.5,16,1607.34,False,False,False
2012,Madhya Pradesh,108440.0,7.56162,3.36072,7.56162,28,65,6.0,700,3.0,22,280.06,True,False,False
2013,Madhya Pradesh,4880.0,20.082,9.63936,17.672159999999998,25,80,6.5,1200,2.0,18,803.28,False,False,True
2013,Madhya Pradesh,23600.0,77.09877,34.26612,48.543670000000006,22,70,6.0,800,2.5,20,2855.51,False,True,False
2013,Madhya Pradesh,23130.0,20.35026,11.305699999999998,20.35026,20,60,6.5,600,1.5,16,1130.57,False,False,False
2013,Madhya Pradesh,99880.0,12.12138,5.3872800000000005,12.12138,28,65,6.0,700,3.0,22,448.94,True,False,False
2014,Madhya Pradesh,8000.0,31.25,15.0,27.5,25,80,6.5,1200,2.0,18,1250.0,False,False,True
2014,Madhya Pradesh,44000.0,76.09085999999999,33.81816,47.90906,22,70,6.0,800,2.5,20,2818.18,False,True,False
2014,Madhya Pradesh,50000.0,27.0,15.0,27.0,20,60,6.5,600,1.5,16,1500.0,False,False,False
2014,Madhya Pradesh,133000.0,5.73696,2.54976,5.73696,28,65,6.0,700,3.0,22,212.48,True,False,False
2015,Madhya Pradesh,7000.0,11.89275,5.70852,10.46562,25,80,6.5,1200,2.0,18,475.71,False,False,True
2015,Madhya Pradesh,39000.0,84.46167,37.538520000000005,53.179570000000005,22,70,6.0,800,2.5,20,3128.21,False,True,False
2015,Madhya Pradesh,38000.0,22.26312,12.3684,22.26312,20,60,6.5,600,1.5,16,1236.84,False,False,False
2015,Madhya Pradesh,96000.0,7.948259999999999,3.53256,7.948259999999999,28,65,6.0,700,3.0,22,294.38,True,False,False
2016,Madhya Pradesh,8000.0,22.90625,10.995,20.1575,25,80,6.5,1200,2.0,18,916.25,False,False,True
2016,Madhya Pradesh,49000.0,82.10214,36.48984,51.69394,22,70,6.0,800,2.5,20,3040.82,False,True,False
2016,Madhya Pradesh,42000.0,23.57136,13.0952,23.57136,20,60,6.5,600,1.5,16,1309.52,False,False,False
2016,Madhya Pradesh,105000.0,8.47017,3.76452,8.47017,28,65,6.0,700,3.0,22,313.71,True,False,False
2017,Madhya Pradesh,5890.0,14.34625,6.8862,12.6247,25,80,6.5,1200,2.0,18,573.85,False,False,True
2017,Madhya Pradesh,53860.0,89.38161,39.72516,56.27730999999999,22,70,6.0,800,2.5,20,3310.43,False,True,False
2017,Madhya Pradesh,69510.0,17.84466,9.9137,17.84466,20,60,6.5,600,1.5,16,991.37,False,False,False
2017,Madhya Pradesh,105100.0,7.82325,3.4770000000000003,7.82325,28,65,6.0,700,3.0,22,289.75,True,False,False
1966,Madhya Pradesh,7000.0,10.71425,5.14284,9.42854,25,80,6.5,1200,2.0,18,428.57,False,False,True
1966,Madhya Pradesh,8000.0,20.25,9.0,12.75,22,70,6.0,800,2.5,20,750.0,False,True,False
1966,Madhya Pradesh,66000.0,9.8181,5.4545,9.8181,20,60,6.5,600,1.5,16,545.45,False,False,False
1966,Madhya Pradesh,18000.0,1.50012,0.6667200000000001,1.50012,28,65,6.0,700,3.0,22,55.56,True,False,False
1967,Madhya Pradesh,7000.0,10.71425,5.14284,9.42854,25,80,6.5,1200,2.0,18,428.57,False,False,True
1967,Madhya Pradesh,9000.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
1967,Madhya Pradesh,54000.0,9.0,5.0,9.0,20,60,6.5,600,1.5,16,500.0,False,False,False
1967,Madhya Pradesh,16000.0,1.6875,0.75,1.6875,28,65,6.0,700,3.0,22,62.5,True,False,False
1968,Madhya Pradesh,6300.0,11.90475,5.7142800000000005,10.47618,25,80,6.5,1200,2.0,18,476.19,False,False,True
1968,Madhya Pradesh,8500.0,15.88248,7.05888,10.00008,22,70,6.0,800,2.5,20,588.24,False,True,False
1968,Madhya Pradesh,38700.0,8.83728,4.909599999999999,8.83728,20,60,6.5,600,1.5,16,490.96,False,False,False
1968,Madhya Pradesh,12500.0,2.16,0.96,2.16,28,65,6.0,700,3.0,22,80.0,True,False,False
1969,Madhya Pradesh,5800.0,12.069,5.79312,10.62072,25,80,6.5,1200,2.0,18,482.76,False,False,True
1969,Madhya Pradesh,7500.0,15.12,6.720000000000001,9.52,22,70,6.0,800,2.5,20,560.0,False,True,False
1969,Madhya Pradesh,37400.0,11.8395,6.5775,11.8395,20,60,6.5,600,1.5,16,657.75,False,False,False
1969,Madhya Pradesh,12400.0,1.52415,0.6774,1.52415,28,65,6.0,700,3.0,22,56.45,True,False,False
1970,Madhya Pradesh,6300.0,13.492,6.476159999999999,11.87296,25,80,6.5,1200,2.0,18,539.68,False,False,True
1970,Madhya Pradesh,7400.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
1970,Madhya Pradesh,43000.0,10.08846,5.6047,10.08846,20,60,6.5,600,1.5,16,560.47,False,False,False
1970,Madhya Pradesh,12100.0,0.66933,0.2974799999999999,0.66933,28,65,6.0,700,3.0,22,24.79,True,False,False
1971,Madhya Pradesh,6600.0,14.015250000000002,6.727320000000001,12.33342,25,80,6.5,1200,2.0,18,560.61,False,False,True
1971,Madhya Pradesh,7400.0,22.62168,10.05408,14.24328,22,70,6.0,800,2.5,20,837.84,False,True,False
1971,Madhya Pradesh,43300.0,11.88918,6.6051,11.88918,20,60,6.5,600,1.5,16,660.51,False,False,False
1971,Madhya Pradesh,11400.0,1.42101,0.63156,1.42101,28,65,6.0,700,3.0,22,52.63,True,False,False
1972,Madhya Pradesh,7800.0,12.1795,5.84616,10.71796,25,80,6.5,1200,2.0,18,487.18,False,False,True
1972,Madhya Pradesh,7900.0,25.29117,11.24052,15.92407,22,70,6.0,800,2.5,20,936.71,False,True,False
1972,Madhya Pradesh,59400.0,11.03022,6.1279,11.03022,20,60,6.5,600,1.5,16,612.79,False,False,False
1972,Madhya Pradesh,10900.0,1.98153,0.8806799999999999,1.98153,28,65,6.0,700,3.0,22,73.39,True,False,False
1973,Madhya Pradesh,7400.0,16.21625,7.783799999999999,14.2703,25,80,6.5,1200,2.0,18,648.65,False,False,True
1973,Madhya Pradesh,7700.0,19.28583,8.57148,12.14293,22,70,6.0,800,2.5,20,714.29,False,True,False
1973,Madhya Pradesh,66500.0,11.44962,6.360900000000001,11.44962,20,60,6.5,600,1.5,16,636.09,False,False,False
1973,Madhya Pradesh,9500.0,0.85266,0.3789599999999999,0.85266,28,65,6.0,700,3.0,22,31.58,True,False,False
1974,Madhya Pradesh,7900.0,10.1265,4.86072,8.91132,25,80,6.5,1200,2.0,18,405.06,False,False,True
1974,Madhya Pradesh,8000.0,21.9375,9.75,13.8125,22,70,6.0,800,2.5,20,812.5,False,True,False
1974,Madhya Pradesh,79200.0,11.3409,6.3005,11.3409,20,60,6.5,600,1.5,16,630.05,False,False,False
1974,Madhya Pradesh,9900.0,2.18187,0.96972,2.18187,28,65,6.0,700,3.0,22,80.81,True,False,False
1975,Madhya Pradesh,7400.0,14.18925,6.810840000000001,12.48654,25,80,6.5,1200,2.0,18,567.57,False,False,True
1975,Madhya Pradesh,7400.0,22.62168,10.05408,14.24328,22,70,6.0,800,2.5,20,837.84,False,True,False
1975,Madhya Pradesh,77700.0,11.88414,6.6023,11.88414,20,60,6.5,600,1.5,16,660.23,False,False,False
1975,Madhya Pradesh,6500.0,0.8307899999999999,0.36924,0.8307899999999999,28,65,6.0,700,3.0,22,30.77,True,False,False
1976,Madhya Pradesh,8000.0,13.125,6.300000000000001,11.55,25,80,6.5,1200,2.0,18,525.0,False,False,True
1976,Madhya Pradesh,8100.0,29.66679,13.18524,18.67909,22,70,6.0,800,2.5,20,1098.77,False,True,False
1976,Madhya Pradesh,81000.0,8.20008,4.5556,8.20008,20,60,6.5,600,1.5,16,455.56,False,False,False
1976,Madhya Pradesh,6300.0,1.28574,0.57144,1.28574,28,65,6.0,700,3.0,22,47.62,True,False,False
1977,Madhya Pradesh,8300.0,14.45775,6.93972,12.72282,25,80,6.5,1200,2.0,18,578.31,False,False,True
1977,Madhya Pradesh,8800.0,21.78414,9.68184,13.715940000000002,22,70,6.0,800,2.5,20,806.82,False,True,False
1977,Madhya Pradesh,67500.0,10.21338,5.674099999999999,10.21338,20,60,6.5,600,1.5,16,567.41,False,False,False
1977,Madhya Pradesh,8300.0,1.30113,0.5782799999999999,1.30113,28,65,6.0,700,3.0,22,48.19,True,False,False
1978,Madhya Pradesh,8200.0,12.5,6.0,11.0,25,80,6.5,1200,2.0,18,500.0,False,False,True
1978,Madhya Pradesh,7600.0,22.38165,9.947400000000002,14.092150000000002,22,70,6.0,800,2.5,20,828.95,False,True,False
1978,Madhya Pradesh,63700.0,10.85094,6.028300000000001,10.85094,20,60,6.5,600,1.5,16,602.83,False,False,False
1978,Madhya Pradesh,6000.0,1.35,0.6000000000000001,1.35,28,65,6.0,700,3.0,22,50.0,True,False,False
1979,Madhya Pradesh,8500.0,7.353,3.52944,6.47064,25,80,6.5,1200,2.0,18,294.12,False,False,True
1979,Madhya Pradesh,8000.0,26.6625,11.85,16.7875,22,70,6.0,800,2.5,20,987.5,False,True,False
1979,Madhya Pradesh,79800.0,7.98498,4.4361,7.98498,20,60,6.5,600,1.5,16,443.61,False,False,False
1979,Madhya Pradesh,5500.0,1.4728499999999998,0.6546,1.4728499999999998,28,65,6.0,700,3.0,22,54.55,True,False,False
1980,Madhya Pradesh,8100.0,14.814750000000002,7.111080000000001,13.036980000000002,25,80,6.5,1200,2.0,18,592.59,False,False,True
1980,Madhya Pradesh,8000.0,23.2875,10.35,14.6625,22,70,6.0,800,2.5,20,862.5,False,True,False
1980,Madhya Pradesh,66300.0,11.07684,6.1538,11.07684,20,60,6.5,600,1.5,16,615.38,False,False,False
1980,Madhya Pradesh,5300.0,1.5282000000000002,0.6792,1.5282000000000002,28,65,6.0,700,3.0,22,56.6,True,False,False
1981,Madhya Pradesh,8200.0,12.805000000000003,6.146400000000002,11.268400000000002,25,80,6.5,1200,2.0,18,512.2,False,False,True
1981,Madhya Pradesh,8000.0,26.6625,11.85,16.7875,22,70,6.0,800,2.5,20,987.5,False,True,False
1981,Madhya Pradesh,74500.0,12.612059999999998,7.006699999999999,12.612059999999998,20,60,6.5,600,1.5,16,700.67,False,False,False
1981,Madhya Pradesh,5500.0,1.4728499999999998,0.6546,1.4728499999999998,28,65,6.0,700,3.0,22,54.55,True,False,False
1982,Madhya Pradesh,6200.0,16.935499999999998,8.12904,14.903239999999998,25,80,6.5,1200,2.0,18,677.42,False,False,True
1982,Madhya Pradesh,8000.0,24.6375,10.95,15.5125,22,70,6.0,800,2.5,20,912.5,False,True,False
1982,Madhya Pradesh,87600.0,12.945239999999998,7.191799999999999,12.945239999999998,20,60,6.5,600,1.5,16,719.18,False,False,False
1982,Madhya Pradesh,5200.0,1.5576299999999998,0.69228,1.5576299999999998,28,65,6.0,700,3.0,22,57.69,True,False,False
1983,Madhya Pradesh,7200.0,17.70825,8.49996,15.58326,25,80,6.5,1200,2.0,18,708.33,False,False,True
1983,Madhya Pradesh,8000.0,30.375,13.5,19.125,22,70,6.0,800,2.5,20,1125.0,False,True,False
1983,Madhya Pradesh,82700.0,12.14514,6.747300000000001,12.14514,20,60,6.5,600,1.5,16,674.73,False,False,False
1983,Madhya Pradesh,4900.0,1.10214,0.48984,1.10214,28,65,6.0,700,3.0,22,40.82,True,False,False
1984,Madhya Pradesh,6700.0,15.2985,7.34328,13.46268,25,80,6.5,1200,2.0,18,611.94,False,False,True
1984,Madhya Pradesh,8300.0,30.90366,13.73496,19.45786,22,70,6.0,800,2.5,20,1144.58,False,True,False
1984,Madhya Pradesh,83000.0,10.97352,6.096399999999999,10.97352,20,60,6.5,600,1.5,16,609.64,False,False,False
1984,Madhya Pradesh,8300.0,1.62648,0.72288,1.62648,28,65,6.0,700,3.0,22,60.24,True,False,False
1985,Madhya Pradesh,5900.0,20.339,9.76272,17.89832,25,80,6.5,1200,2.0,18,813.56,False,False,True
1985,Madhya Pradesh,8400.0,21.85704,9.71424,13.76184,22,70,6.0,800,2.5,20,809.52,False,True,False
1985,Madhya Pradesh,85300.0,14.72922,8.1829,14.72922,20,60,6.5,600,1.5,16,818.29,False,False,False
1985,Madhya Pradesh,6500.0,2.07684,0.92304,2.07684,28,65,6.0,700,3.0,22,76.92,True,False,False
1986,Madhya Pradesh,6000.0,20.83325,9.99996,18.33326,25,80,6.5,1200,2.0,18,833.33,False,False,True
1986,Madhya Pradesh,8000.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
1986,Madhya Pradesh,89000.0,12.74166,7.0787,12.74166,20,60,6.5,600,1.5,16,707.87,False,False,False
1986,Madhya Pradesh,6000.0,4.500089999999999,2.00004,4.500089999999999,28,65,6.0,700,3.0,22,166.67,True,False,False
1987,Madhya Pradesh,6000.0,16.66675,8.00004,14.66674,25,80,6.5,1200,2.0,18,666.67,False,False,True
1987,Madhya Pradesh,8000.0,33.75,15.0,21.25,22,70,6.0,800,2.5,20,1250.0,False,True,False
1987,Madhya Pradesh,86000.0,13.18608,7.3256,13.18608,20,60,6.5,600,1.5,16,732.56,False,False,False
1987,Madhya Pradesh,5000.0,1.62,0.72,1.62,28,65,6.0,700,3.0,22,60.0,True,False,False
1988,Madhya Pradesh,6500.0,14.6155,7.01544,12.86164,25,80,6.5,1200,2.0,18,584.62,False,False,True
1988,Madhya Pradesh,8300.0,34.15662,15.180719999999996,21.50602,22,70,6.0,800,2.5,20,1265.06,False,True,False
1988,Madhya Pradesh,87400.0,14.84892,8.2494,14.84892,20,60,6.5,600,1.5,16,824.94,False,False,False
1988,Madhya Pradesh,8500.0,1.27062,0.5647200000000001,1.27062,28,65,6.0,700,3.0,22,47.06,True,False,False
1989,Madhya Pradesh,5400.0,17.12975,8.222280000000001,15.074180000000002,25,80,6.5,1200,2.0,18,685.19,False,False,True
1989,Madhya Pradesh,8300.0,39.03606,17.34936,24.57826,22,70,6.0,800,2.5,20,1445.78,False,True,False
1989,Madhya Pradesh,91200.0,12.33558,6.8531,12.33558,20,60,6.5,600,1.5,16,685.31,False,False,False
1989,Madhya Pradesh,7600.0,1.77633,0.78948,1.77633,28,65,6.0,700,3.0,22,65.79,True,False,False
1990,Madhya Pradesh,4300.0,20.348750000000003,9.7674,17.9069,25,80,6.5,1200,2.0,18,813.95,False,False,True
1990,Madhya Pradesh,8900.0,29.42703,13.07868,18.52813,22,70,6.0,800,2.5,20,1089.89,False,True,False
1990,Madhya Pradesh,99800.0,16.683300000000003,9.2685,16.683300000000003,20,60,6.5,600,1.5,16,926.85,False,False,False
1990,Madhya Pradesh,7880.0,1.81602,0.8071200000000001,1.81602,28,65,6.0,700,3.0,22,67.26,True,False,False
1991,Madhya Pradesh,4000.0,21.25,10.2,18.7,25,80,6.5,1200,2.0,18,850.0,False,False,True
1991,Madhya Pradesh,9600.0,29.812590000000004,13.250040000000002,18.77089,22,70,6.0,800,2.5,20,1104.17,False,True,False
1991,Madhya Pradesh,93400.0,17.614620000000002,9.785900000000002,17.614620000000002,20,60,6.5,600,1.5,16,978.59,False,False,False
1991,Madhya Pradesh,6730.0,1.36404,0.60624,1.36404,28,65,6.0,700,3.0,22,50.52,True,False,False
1992,Madhya Pradesh,3700.0,18.919,9.08112,16.64872,25,80,6.5,1200,2.0,18,756.76,False,False,True
1992,Madhya Pradesh,11300.0,43.24779,19.22124,27.23009,22,70,6.0,800,2.5,20,1601.77,False,True,False
1992,Madhya Pradesh,91000.0,13.608719999999998,7.5604,13.608719999999998,20,60,6.5,600,1.5,16,756.04,False,False,False
1992,Madhya Pradesh,3870.0,2.09304,0.93024,2.09304,28,65,6.0,700,3.0,22,77.52,True,False,False
1993,Madhya Pradesh,3100.0,20.16125,9.6774,17.7419,25,80,6.5,1200,2.0,18,806.45,False,False,True
1993,Madhya Pradesh,12900.0,37.67444999999999,16.7442,23.72095,22,70,6.0,800,2.5,20,1395.35,False,True,False
1993,Madhya Pradesh,99100.0,14.85774,8.2543,14.85774,20,60,6.5,600,1.5,16,825.43,False,False,False
1993,Madhya Pradesh,2630.0,2.46375,1.095,2.46375,28,65,6.0,700,3.0,22,91.25,True,False,False
1994,Madhya Pradesh,2500.0,22.0,10.56,19.36,25,80,6.5,1200,2.0,18,880.0,False,False,True
1994,Madhya Pradesh,10800.0,25.00011,11.111159999999998,15.740809999999998,22,70,6.0,800,2.5,20,925.93,False,True,False
1994,Madhya Pradesh,115000.0,18.67302,10.3739,18.67302,20,60,6.5,600,1.5,16,1037.39,False,False,False
1994,Madhya Pradesh,2100.0,1.15722,0.51432,1.15722,28,65,6.0,700,3.0,22,42.86,True,False,False
1995,Madhya Pradesh,2400.0,12.5,6.0,11.0,25,80,6.5,1200,2.0,18,500.0,False,False,True
1995,Madhya Pradesh,9100.0,38.27466,17.010959999999997,24.09886,22,70,6.0,800,2.5,20,1417.58,False,True,False
1995,Madhya Pradesh,119200.0,13.25844,7.3658,13.25844,20,60,6.5,600,1.5,16,736.58,False,False,False
1995,Madhya Pradesh,2000.0,1.62,0.72,1.62,28,65,6.0,700,3.0,22,60.0,True,False,False
1996,Madhya Pradesh,2300.0,18.47825,8.86956,16.260859999999997,25,80,6.5,1200,2.0,18,739.13,False,False,True
1996,Madhya Pradesh,11700.0,32.99994,14.66664,20.77774,22,70,6.0,800,2.5,20,1222.22,False,True,False
1996,Madhya Pradesh,118800.0,18.57582,10.3199,18.57582,20,60,6.5,600,1.5,16,1031.99,False,False,False
1996,Madhya Pradesh,2300.0,1.76094,0.78264,1.76094,28,65,6.0,700,3.0,22,65.22,True,False,False
1997,Madhya Pradesh,2400.0,14.58325,6.99996,12.83326,25,80,6.5,1200,2.0,18,583.33,False,False,True
1997,Madhya Pradesh,12400.0,17.85483,7.935479999999999,11.241929999999998,22,70,6.0,800,2.5,20,661.29,False,True,False
1997,Madhya Pradesh,116200.0,18.38718,10.2151,18.38718,20,60,6.5,600,1.5,16,1021.51,False,False,False
1997,Madhya Pradesh,2100.0,2.1856500000000003,0.9714,2.1856500000000003,28,65,6.0,700,3.0,22,80.95,True,False,False
1998,Madhya Pradesh,2400.0,23.95825,11.49996,21.08326,25,80,6.5,1200,2.0,18,958.33,False,False,True
1998,Madhya Pradesh,12400.0,30.91932000000001,13.741920000000002,19.467720000000003,22,70,6.0,800,2.5,20,1145.16,False,True,False
1998,Madhya Pradesh,121100.0,17.36082,9.6449,17.36082,20,60,6.5,600,1.5,16,964.49,False,False,False
1998,Madhya Pradesh,2300.0,1.40859,0.62604,1.40859,28,65,6.0,700,3.0,22,52.17,True,False,False
1999,Madhya Pradesh,2400.0,21.875,10.5,19.25,25,80,6.5,1200,2.0,18,875.0,False,False,True
1999,Madhya Pradesh,13300.0,36.94734,16.421039999999998,23.26314,22,70,6.0,800,2.5,20,1368.42,False,True,False
1999,Madhya Pradesh,122100.0,17.366039999999998,9.6478,17.366039999999998,20,60,6.5,600,1.5,16,964.78,False,False,False
1999,Madhya Pradesh,700.0,1.15722,0.51432,1.15722,28,65,6.0,700,3.0,22,42.86,True,False,False
2000,Madhya Pradesh,2400.0,13.54175,6.50004,11.91674,25,80,6.5,1200,2.0,18,541.67,False,False,True
2000,Madhya Pradesh,16300.0,38.09808,16.93248,23.98768,22,70,6.0,800,2.5,20,1411.04,False,True,False
2000,Madhya Pradesh,75100.0,17.23302,9.5739,17.23302,20,60,6.5,600,1.5,16,957.39,False,False,False
2001,Madhya Pradesh,2300.0,16.304249999999996,7.826039999999999,14.347739999999998,25,80,6.5,1200,2.0,18,652.17,False,False,True
2001,Madhya Pradesh,17900.0,52.64244,23.39664,33.14524,22,70,6.0,800,2.5,20,1949.72,False,True,False
2001,Madhya Pradesh,118800.0,18.15156,10.0842,18.15156,20,60,6.5,600,1.5,16,1008.42,False,False,False
2001,Madhya Pradesh,300.0,1.8000900000000002,0.8000400000000001,1.8000900000000002,28,65,6.0,700,3.0,22,66.67,True,False,False
2002,Madhya Pradesh,2300.0,17.39125,8.3478,15.3043,25,80,6.5,1200,2.0,18,695.65,False,False,True
2002,Madhya Pradesh,18800.0,56.44161,25.08516,35.53731,22,70,6.0,800,2.5,20,2090.43,False,True,False
2002,Madhya Pradesh,107700.0,17.33148,9.6286,17.33148,20,60,6.5,600,1.5,16,962.86,False,False,False
2002,Madhya Pradesh,200.0,2.7,1.2000000000000002,2.7,28,65,6.0,700,3.0,22,100.0,True,False,False
2003,Madhya Pradesh,2100.0,19.0475,9.1428,16.7618,25,80,6.5,1200,2.0,18,761.9,False,False,True
2003,Madhya Pradesh,18800.0,48.82977,21.70212,30.74467,22,70,6.0,800,2.5,20,1808.51,False,True,False
2003,Madhya Pradesh,120500.0,17.52192,9.7344,17.52192,20,60,6.5,600,1.5,16,973.44,False,False,False
2003,Madhya Pradesh,200.0,2.7,1.2000000000000002,2.7,28,65,6.0,700,3.0,22,100.0,True,False,False
2004,Madhya Pradesh,2000.0,17.5,8.399999999999999,15.4,25,80,6.5,1200,2.0,18,700.0,False,False,True
2004,Madhya Pradesh,18660.0,37.30212,16.578719999999997,23.48652,22,70,6.0,800,2.5,20,1381.56,False,True,False
2004,Madhya Pradesh,117970.0,17.452260000000003,9.6957,17.452260000000003,20,60,6.5,600,1.5,16,969.57,False,False,False
2004,Madhya Pradesh,130.0,2.07684,0.92304,2.07684,28,65,6.0,700,3.0,22,76.92,True,False,False
2005,Madhya Pradesh,1900.0,16.579,7.95792,14.58952,25,80,6.5,1200,2.0,18,663.16,False,False,True
2005,Madhya Pradesh,18210.0,35.42184,15.74304,22.30264,22,70,6.0,800,2.5,20,1311.92,False,True,False
2005,Madhya Pradesh,116190.0,18.10062,10.0559,18.10062,20,60,6.5,600,1.5,16,1005.59,False,False,False
2005,Madhya Pradesh,180.0,2.99997,1.33332,2.99997,28,65,6.0,700,3.0,22,111.11,True,False,False
2006,Madhya Pradesh,1970.0,16.62425,7.979640000000001,14.62934,25,80,6.5,1200,2.0,18,664.97,False,False,True
2006,Madhya Pradesh,48460.0,23.72382,10.54392,14.93722,22,70,6.0,800,2.5,20,878.66,False,True,False
2006,Madhya Pradesh,123070.0,19.5957,10.886500000000002,19.5957,20,60,6.5,600,1.5,16,1088.65,False,False,False
2006,Madhya Pradesh,270.0,2.99997,1.33332,2.99997,28,65,6.0,700,3.0,22,111.11,True,False,False
2007,Madhya Pradesh,2900.0,12.5,6.0,11.0,25,80,6.5,1200,2.0,18,500.0,False,False,True
2007,Madhya Pradesh,17600.0,34.36371,15.272759999999998,21.63641,22,70,6.0,800,2.5,20,1272.73,False,True,False
2007,Madhya Pradesh,148400.0,14.21568,7.897600000000001,14.21568,20,60,6.5,600,1.5,16,789.76,False,False,False
2008,Madhya Pradesh,5100.0,12.598,6.047040000000001,11.08624,25,80,6.5,1200,2.0,18,503.92,False,False,True
2008,Madhya Pradesh,17600.0,30.83535,13.7046,19.41485,22,70,6.0,800,2.5,20,1142.05,False,True,False
2008,Madhya Pradesh,151200.0,16.77384,9.3188,16.77384,20,60,6.5,600,1.5,16,931.88,False,False,False
2008,Madhya Pradesh,100.0,5.4,2.4000000000000004,5.4,28,65,6.0,700,3.0,22,200.0,True,False,False
2009,Madhya Pradesh,5500.0,25.0,12.0,22.0,25,80,6.5,1200,2.0,18,1000.0,False,False,True
2009,Madhya Pradesh,17100.0,25.42104,11.29824,16.00584,22,70,6.0,800,2.5,20,941.52,False,True,False
2009,Madhya Pradesh,143900.0,21.01464,11.6748,21.01464,20,60,6.5,600,1.5,16,1167.48,False,False,False
2009,Madhya Pradesh,600.0,3.15009,1.40004,3.15009,28,65,6.0,700,3.0,22,116.67,True,False,False
2010,Madhya Pradesh,6600.0,27.27275,13.09092,24.00002,25,80,6.5,1200,2.0,18,1090.91,False,False,True
2010,Madhya Pradesh,17800.0,47.93256,21.30336,30.17976,22,70,6.0,800,2.5,20,1775.28,False,True,False
2010,Madhya Pradesh,154700.0,12.12408,6.7356,12.12408,20,60,6.5,600,1.5,16,673.56,False,False,False
2010,Madhya Pradesh,70.0,3.4608600000000003,1.5381600000000002,3.4608600000000003,28,65,6.0,700,3.0,22,128.18,True,False,False
2011,Madhya Pradesh,13100.0,42.1755,20.24424,37.11444,25,80,6.5,1200,2.0,18,1687.02,False,False,True
2011,Madhya Pradesh,11300.0,27.0,12.0,17.0,22,70,6.0,800,2.5,20,1000.0,False,True,False
2011,Madhya Pradesh,161000.0,23.154119999999995,12.8634,23.154119999999995,20,60,6.5,600,1.5,16,1286.34,False,False,False
2011,Madhya Pradesh,40.0,6.24861,2.77716,6.24861,28,65,6.0,700,3.0,22,231.43,True,False,False
2012,Madhya Pradesh,17980.0,63.77925,30.61404,56.12574,25,80,6.5,1200,2.0,18,2551.17,False,False,True
2012,Madhya Pradesh,10510.0,67.82103,30.14268,42.70213,22,70,6.0,800,2.5,20,2511.89,False,True,False
2012,Madhya Pradesh,128040.0,17.56278,9.7571,17.56278,20,60,6.5,600,1.5,16,975.71,False,False,False
2013,Madhya Pradesh,20180.0,76.7095,36.82056,67.50436,25,80,6.5,1200,2.0,18,3068.38,False,False,True
2013,Madhya Pradesh,10460.0,16.7265,7.434000000000001,10.5315,22,70,6.0,800,2.5,20,619.5,False,True,False
2013,Madhya Pradesh,129380.0,16.32906,9.0717,16.32906,20,60,6.5,600,1.5,16,907.17,False,False,False
2014,Madhya Pradesh,46000.0,80.07075,38.43396,70.46226,25,80,6.5,1200,2.0,18,3202.83,False,False,True
2014,Madhya Pradesh,35000.0,46.28583,20.57148,29.14293,22,70,6.0,800,2.5,20,1714.29,False,True,False
